,Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum
7946,mountain,6.65,1.77,43,4.12,2.5,43
7947,Mountain Dew,5.47,3.03,19,5.05,3.06,22
7948,mountaintop,6.5,1.82,20,4.28,2.8,18
7949,mourn,2.4,1.73,20,4.95,2.93,20
7950,mournful,3.32,1.42,19,2.78,1.77,18
7952,mouse,4.8,2.04,20,3.38,1.94,21
7953,mousetrap,4.82,1.89,22,4.05,2.36,21
7954,mousse,6.0,0.92,20,3.19,1.86,21
7955,moustache,5.35,2.11,20,3.23,2.11,22
7956,mousy,3.74,1.63,19,3.1,2.13,20
7957,mouth,5.59,1.59,22,4.14,2.29,21
7958,mouthful,4.88,1.41,17,3.8,2.14,20
7959,mouthpiece,4.65,1.81,20,3.62,2.09,21
7960,mouthwash,5.7,2.0,20,2.67,2.22,18
7961,move,4.95,1.86,21,4.24,2.45,21
7962,movement,6.58,1.3,19,4.0,2.14,21
7963,mover,4.55,1.36,20,3.82,2.01,17
7964,movie,7.24,1.51,41,4.39,2.63,49
7965,mow,4.94,1.86,18,4.17,2.39,23
7966,mower,4.76,1.04,21,2.79,2.59,24
7967,moxie,6.1,1.45,20,3.78,1.99,18
7968,mozzarella,7.19,1.97,21,4.54,2.49,26
7969,muck,3.14,1.24,21,3.55,1.96,20
7971,mucus,2.84,1.34,19,4.17,2.14,42
7972,mud,5.06,1.21,18,3.19,1.66,21
7973,muddle,4.47,1.35,19,3.05,2.14,20
7974,muddy,4.14,2.04,102,4.2,2.27,82
7975,muff,5.63,2.39,19,3.59,2.38,22
7976,muffin,7.1,1.62,20,4.05,2.82,43
7978,muffler,3.63,1.83,19,4.27,2.95,22
7979,mug,4.16,1.77,19,3.83,2.52,23
7980,mugger,1.9,1.25,20,5.67,1.83,21
7981,mulberry,5.74,1.45,19,2.75,1.71,20
7982,mulch,5.33,1.8,21,3.52,1.81,23
7983,mule,4.26,1.48,19,2.78,1.66,18
7984,mull,4.38,1.69,21,3.12,2.11,25
7985,mullet,3.86,2.38,22,3.81,2.62,21
7986,multimedia,6.53,1.68,19,4.8,2.63,20
